Bank_Code,Bank_Name,Branch_Code,Branch_Name,Branch_Address,City,Zip_Code,POB,Telephone,Fax,Free_Tel,Handicap_Access,day_closed,Branch_Type,Open_Date,Close_Date,Merge_Bank,Merge_Branch,X_Coordinate,Y_Coordinate
13,"בנק אגוד לישראל בע""מ",94,באר שבע,יצחק בן צבי 7 ,באר שבע,8489325,,1-599-599-094,,,כן,יום ו,רגיל,01/02/1949,,,,34.798687,31.244128
13,"בנק אגוד לישראל בע""מ",75,רעננה,אחוזה 153 153 ,רעננה,4337331,,1-599-599-075,,,כן,יום א,רגיל,28/02/1983,,,,34.870682,32.181288
13,"בנק אגוד לישראל בע""מ",159,מרכז ראשלצ,ז'בוטינסקי 20 ,ראשון לציון,7522905,,1-599-599-159,,,כן,יום א,רגיל,30/03/2015,,,,34.800053,31.963430
13,"בנק אגוד לישראל בע""מ",74,ראשון לציון,משה לוי 11 ,ראשון לציון,7565828,,1-599-599-074,,,לא,יום ו,רגיל,01/02/1949,,,,34.774043,31.989113
13,"בנק אגוד לישראל בע""מ",158,חולון,פנחס אילון 13 ,חולון,5845907,,1-599-599-158,,,כן,יום א,רגיל,26/03/2014,,,,34.778362,32.008634
13,"בנק אגוד לישראל בע""מ",125,מרכז הלוואות,אבא הילל סלבר 13 ,לוד,7129463,,03-6798440,,,לא,,מיוחד,01/06/2015,,,,34.90,31.965243
13,"בנק אגוד לישראל בע""מ",123,לוד,אגוד ישיר,אבא הילל סלבר 13 ,לוד,7129463,,1-700-700-022,,,לא,,מיוחד,24/12/2003,,,,34.90,31.965243
13,"בנק אגוד לישראל בע""מ",91,נתניה,שטמפפר 17 ,נתניה,4240230,,1-599-599-091,,,כן,יום א,רגיל,01/02/1949,,,,34.853753,32.327605
13,"בנק אגוד לישראל בע""מ",95,פולג,הבונים 3 ,נתניה,4250452,,1-599-566-095,,,כן,יום ו,רגיל,10/12/1995,,,,34.860666,32.280368
13,"בנק אגוד לישראל בע""מ",165,רוממה,שמגר 10 ,ירושלים,6525101,,1-599-599-052,,,כן,יום א,רגיל,25/02/2018,,,,35.208529,31.793049
13,"בנק אגוד לישראל בע""מ",51,ירושלים ראשי,בן יהודה 1 ,ירושלים,9462401,,1-599-599-051,,,כן,יום ו,רגיל,01/02/1949,,,,35.219344,31.781775
13,"בנק אגוד לישראל בע""מ",81,חיפה ראשי,"פלי""ם 6 ",חיפה,3309509,,1-599-599-081,,,לא,יום ו,רגיל,01/02/1949,,,,35.000336,32.816731
13,"בנק אגוד לישראל בע""מ",78,ראש העין,המלאכה 22 ,ראש העין,4809162,,1-599-599-078,,,כן,יום ו,רגיל,15/12/1996,,,,34.964501,32.108922
13,"בנק אגוד לישראל בע""מ",62,רמת גן,ז'בוטינסקי 1 ,רמת גן,5252005,,1-599-599-062,,,כן,יום ו,רגיל,01/02/1949,,,,34.800452,32.082928
13,"בנק אגוד לישראל בע""מ",152,הוד השרון,סוקולוב 15 ,הוד השרון,4528444,,1-599-599-152,,,לא,יום א,רגיל,20/11/2007,,,,34.902197,32.163689
13,"בנק אגוד לישראל בע""מ",83,מרכז הכרמל,מחניים 4 ,חיפה,3463413,,1-599-599-083,,,כן,יום א,רגיל,01/02/1949,,,,34.986150,32.803547
13,"בנק אגוד לישראל בע""מ",144,קרית אונו,שלמה המלך 40 ,קריית אונו,5542136,,1-599-599-144,,,כן,יום א,רגיל,12/04/2005,,,,34.863072,32.054970
13,"בנק אגוד לישראל בע""מ",146,קרית גת,מלכי ישראל 178 ,קריית גת,8205002,,1-599-599-146,,,לא,יום א,רגיל,08/11/2005,,,,34.758760,31.603778
13,"בנק אגוד לישראל בע""מ",155,רמת השרון,סוקולוב 90 ,רמת השרון,4723716,,1-599-599-155,,,כן,יום א,רגיל,16/11/2010,,,,34.839809,32.148441
13,"בנק אגוד לישראל בע""מ",71,אשדוד,שדרות ירושלים 12 ,אשדוד,7752305,,1-599-599-071,,,כן,יום א,רגיל,01/02/1949,,,,34.639519,31.795554
13,"בנק אגוד לישראל בע""מ",143,אלעד,שמאי 1 ,אלעד,4080101,,1-599-599-143,,,כן,יום א,רגיל,14/12/2004,,,,34.950394,32.050887
13,"בנק אגוד לישראל בע""מ",70,פתח תקוה,ההסתדרות 26 ,פתח תקווה,4954043,,1-599-599-070,,,כן,יום א,רגיל,01/02/1949,,,,34.886827,32.086067
13,"בנק אגוד לישראל בע""מ",76,קרית אריה,משה דיין 14 ,פתח תקווה,4951814,,1-599-599-076,,,כן,יום ו,רגיל,27/11/1990,,,,34.861778,32.095662
13,"בנק אגוד לישראל בע""מ",93,רחובות,אחד העם 1 ,רחובות,7626101,,1-599-599-093,,,כן,יום א,רגיל,01/02/1949,,,,34.812181,31.896297
13,"בנק אגוד לישראל בע""מ",154,מודיעין,גינת עמק זבולון 24 ,מודיעין-מכבים-רעות*,7177683,,1-599-599-154,,,כן,יום א,רגיל,29/07/2008,,,,34.997864,31.907249
13,"בנק אגוד לישראל בע""מ",192,אשקלון,הגדוד העברי 10 ,אשקלון,7859507,,1-599-599-192,,,לא,יום ו,רגיל,01/02/1949,,,,34.585473,31.665121
13,"בנק אגוד לישראל בע""מ",148,רימונים בני ברק,הירדן 30 ,בני ברק,5137705,,1-599-599-148,,,כן,יום א,רגיל,06/11/2007,,,,34.838953,32.091040
13,"בנק אגוד לישראל בע""מ",72,הרצליה,סוקולוב 38 ,הרצלייה,4649755,,1-599-599-072,,,לא,יום א,רגיל,01/02/1949,,,,34.844708,32.167074
13,"בנק אגוד לישראל בע""מ",79,הרצליה פיתוח,הסדנאות 9 ,הרצלייה,4672836,,1-599-599-079,,,כן,יום ו,רגיל,14/06/1998,,,,34.806440,32.161023
13,"בנק אגוד לישראל בע""מ",92,חדרה,הרברט סמואל 57 ,חדרה,3820201,,1-599-599-092,,,לא,יום א,רגיל,01/02/1949,,,,34.919315,32.437226
13,"בנק אגוד לישראל בע""מ",64,מיקדו,אהרון בקר 8 ,תל אביב -יפו,6964316,,1-599-599-064,,,כן,יום א,רגיל,11/05/2004,,,,34.816495,32.123030
13,"בנק אגוד לישראל בע""מ",66,גורדון,גורדון 42 ,תל אביב -יפו,6341416,,1-599-599-066,,,לא,יום א,רגיל,01/02/1949,,,,34.773687,32.081715
13,"בנק אגוד לישראל בע""מ",157,כיכר המדינה,ויצמן 32 ,תל אביב -יפו,6209105,,1-599-599-157,,,כן,יום א,רגיל,20/09/2012,,,,34.789425,32.084588
13,"בנק אגוד לישראל בע""מ",140,פרימיום מרכז,אחד העם 9 ,תל אביב -יפו,6525101,,1-599-599-140,,,כן,יום ו,רגיל,10/12/2016,,,,34.770454,32.064260
13,"בנק אגוד לישראל בע""מ",63,תל אביב ראשי,אחוזת בית 6 ,תל אביב -יפו,6514304,,1-599-599-063,,,כן,יום ו,רגיל,01/02/1949,,,,34.770454,32.064260
13,"בנק אגוד לישראל בע""מ",153,הקריות,שד' ירושלים 18 ,קריית ביאליק,2703204,,1-599-599-153,,,כן,יום א,רגיל,29/01/2008,,,,35.078349,32.824724
13,"בנק אגוד לישראל בע""מ",992,משכנתאות,אחד העם 9 ,תל אביב -יפו,6525101,,03-5191901,,,לא,,יחידת ביצוע,16/02/1999,,,,34.770454,32.064260
13,"בנק אגוד לישראל בע""מ",198,הנהלה,אחוזת בית 6 ,תל אביב -יפו,6514304,,03-5191235,,,לא,,יחידת ביצוע,14/09/2004,,,,34.770454,32.064260
13,"בנק אגוד לישראל בע""מ",196,הנהלה,אחוזת בית 6 ,תל אביב -יפו,6514304,,03-5191235,,,לא,,יחידת ביצוע,14/09/2004,,,,34.770454,32.064260
13,"בנק אגוד לישראל בע""מ",197,הנהלה,אחוזת בית 6 ,תל אביב -יפו,6514304,,03-5191794,,,לא,,יחידת ביצוע,14/09/2004,,,,34.770454,32.064260
13,"בנק אגוד לישראל בע""מ",190,נהריה,שד' הגעתון 26 ,נהרייה,2240117,,1-599-599-190,,,כן,יום א,רגיל,01/02/1949,,,,35.094702,33.0067
14,"בנק אוצר החייל בע""מ",318,נווה זאב,יוהנה ז'בוטינסקי 7 ,באר שבע,8425807,,08-6405200,,,כן,יום א,מיוחד,01/04/2014,,31001,,31.24,34.78
14,"בנק אוצר החייל בע""מ",319,נהריה,שד' הגעתון 41 ,נהרייה,2242021,419,04-9518200,,*3009,כן,יום ו,מחלקה,09/05/2021,,,,33.01,35.09
14,"בנק אוצר החייל בע""מ",392,מערב ראשון לציון,ילדי טהרן 5 מתחם הפאואר סנטר החדש,ראשון לציון,7565841,,03-9592200,,,כן,יום א,מחלקה,01/06/2008,,31001,,31.99,34.77
14,"בנק אוצר החייל בע""מ",344,ראשון לציון,רוטשילד 14 ,ראשון לציון,7526707,1,03-9571222,,,כן,יום ו,מחלקה,01/08/1991,,31001,,31.96,34.81
14,"בנק אוצר החייל בע""מ",313,ראש פינה,האגס 0 קניון סנטר הגליל,ראש פינה,1200000,,04-9009200,,,כן,יום א,מיוחד,01/09/2003,,31001,,32.97,35.55
14,"בנק אוצר החייל בע""מ",993,שלוחת ערבה,מושב ספיר 0 מ.א ערבה תיכונה מרכז ספירה,"הערבה מ""א 54",8682500,,08-9950821,,,כן,יום א,מיוחד,06/08/2004,,31001,,30.61,35.19
14,"בנק אוצר החייל בע""מ",346,נתניה,הרצל 5 ,נתניה,4240003,2080,09-8893200,,,כן,יום א,מחלקה,18/01/1992,,31001,,32.33,34.85
14,"בנק אוצר החייל בע""מ",316,רמת פולג,טום לנטוס 1 ,נתניה,4201233,,09-8641200,,,כן,יום ו,מחלקה,01/01/2019,,31001,,32.31,34.87
14,"בנק אוצר החייל בע""מ",309,עפולה,חטיבה תשע 23 ,עפולה,1835514,2161,04-6520200,,*3009,כן,יום ו,מחלקה,01/12/2020,,,,32.61,35.29
14,"בנק אוצר החייל בע""מ",338,לקוחות נבחרים,ילדי טהרן 5 מתחם הפאואר סנטר החדש,ראשון לציון,7565841,,03-7102223,,,כן,יום ו,יחידת ביצוע,28/06/2008,,31001,,31.99,34.77
14,"בנק אוצר החייל בע""מ",388,מרכז שרות ישיר,אברהם בומה שביט 5 ,ראשון לציון,7559903,,03-6258233,,,כן,,יחידת ביצוע,31/12/1999,,31001,,31.95,34.77
14,"בנק אוצר החייל בע""מ",369,ירושלים,הלל 10 ,ירושלים,9458110,,02-6217222,,,כן,יום א,מיוחד,01/02/1949,,31001,,31.78,35.22
14,"בנק אוצר החייל בע""מ",376,חצרים,"בסיס צבאי חצרים 0 מחנה יפה,",חצרים,8542500,540,08-6204100,,,כן,יום ו,מיוחד,28/05/1976,,31001,,31.24,34.66
14,"בנק אוצר החייל בע""מ",342,נבטים,"מחנה עדי, ערד 0 ",ערד,8554000,,08-6501516,,,לא,יום ו,מיוחד,04/06/1985,,31001,,31.20,35.05
14,"בנק אוצר החייל בע""מ",348,אפק,בזק 1 מרכז מסחרי,ראש העין,4863087,,03-9003200,,,כן,יום א,רגיל,10/07/1994,,31001,,32.09,34.97
14,"בנק אוצר החייל בע""מ",398,כרמיאל,החרושת 15 ,כרמיאל,2165118,474,04-9028200,,,כן,יום א,מחלקה,18/10/2007,,31001,,32.92,35.31
14,"בנק אוצר החייל בע""מ",334,"""חבר""",בסיס תל השומר 0 ,רמת גן,,,03-7177452,,,כן,יום ו,יחידת ביצוע,01/08/2012,,31001,,32.05,34.85
14,"בנק אוצר החייל בע""מ",330,רמת גן,ביאליק 10 ,רמת גן,5245105,,03-6757200,,*3009,כן,יום א,מחלקה,09/05/2021,,,,32.08,34.81
14,"בנק אוצר החייל בע""מ",372,תל השומר,תל השומר 0 ,רמת גן,5262000,3506,03-6715200,,,כן,יום ו,מיוחד,01/02/1949,,31001,,32.05,34.85
14,"בנק אוצר החייל בע""מ",358,אוצר החייל יהוד,דרך העצמאות 56 ,יהוד-מונוסון,5630425,1057,03-5393200,,,כן,יום ו,מחלקה,15/10/2021,,,,32.03,34.89
14,"בנק אוצר החייל בע""מ",336,חיל הים - חיפה,"0 0 ב""ח חיפה, בת-גלים, חיפה",חיפה,,,04-8138230,,,כן,יום ו,מיוחד,19/07/2010,,31001,,32.83,34.98
14,"בנק אוצר החייל בע""מ",362,מפרץ חיפה,החרושת 0 מתחם חוצות המפרץ (צומת וולקן),חיפה,,,04-8813200,,,כן,יום א,רגיל,25/05/1995,,31001,,32.81,35.05
14,"בנק אוצר החייל בע""מ",359,אוצר החייל קרית גת,הזית 54 השוק החדש,קריית גת,8202009,38,08-6670200,,,כן,יום ו,מחלקה,15/10/2021,,,,31.60,34.77
14,"בנק אוצר החייל בע""מ",314,גלילות,מתחם גלילות 0 ,רמת השרון,,,03-5497224,,,כן,יום ו,מיוחד,01/12/2003,,31001,,32.15,34.82
14,"בנק אוצר החייל בע""מ",375,רמת השרון,הסייפן 33 ,רמת השרון,4724833,,03-7605200,,,כן,יום א,רגיל,01/02/1949,,31001,,32.13,34.84
14,"בנק אוצר החייל בע""מ",367,חצור,"בסיס צבאי, מחנה מרים 0 ",חצור-אשדוד,7072000,1,08-8573368,,,כן,יום ו,מיוחד,26/10/1966,,31001,,31.83,34.80
14,"בנק אוצר החייל בע""מ",329,יוקנעם,שד' רבין 9 ,יקנעם עילית,2069201,,04-6642200,,*3009,כן,יום א,מחלקה,09/05/2021,,,,32.64,35.09
14,"בנק אוצר החייל בע""מ",355,אשדוד,"שד' מנחם בגין 7 מרכז צימר, ככר הסיטי",אשדוד,7766813,,08-8578300,,,כן,יום א,רגיל,01/03/1995,,31001,,31.79,34.64
